"Date","Price","Open","High","Low","Vol.","Change %"
"23-10-2023","199.75","202.00","205.15","199.00","6.99M","-1.53%"
"20-10-2023","202.85","205.20","205.20","200.90","22.08M","-1.43%"
"19-10-2023","205.80","204.00","207.40","202.20","13.19M","-0.34%"
"18-10-2023","206.50","208.45","208.45","204.00","14.92M","-0.31%"
"17-10-2023","207.15","203.55","209.00","202.60","19.38M","2.02%"
"16-10-2023","203.05","200.30","203.85","200.10","18.34M","0.62%"
"13-10-2023","201.80","200.45","202.40","199.30","13.11M","0.52%"
"12-10-2023","200.75","197.35","202.00","197.35","21.87M","1.13%"
"11-10-2023","198.50","197.35","199.15","197.35","10.03M","0.28%"
"10-10-2023","197.95","196.25","198.55","195.70","7.44M","0.87%"
"09-10-2023","196.25","196.50","196.90","193.75","7.85M","-0.41%"
"06-10-2023","197.05","197.00","197.45","194.85","12.86M","0.23%"
"05-10-2023","196.60","199.50","199.50","195.35","14.58M","-1.21%"
"04-10-2023","199.00","198.90","199.40","195.40","14.12M","-0.28%"
"03-10-2023","199.55","198.75","200.00","196.90","10.83M","-0.10%"
"29-09-2023","199.75","200.95","201.90","199.10","16.29M","-0.50%"
"28-09-2023","200.75","200.10","204.45","197.80","50.19M","0.70%"
"27-09-2023","199.35","199.30","199.60","197.30","6.74M","0.50%"
"26-09-2023","198.35","199.10","200.05","197.60","7.44M","-0.28%"
"25-09-2023","198.90","200.00","200.65","196.70","11.95M","-0.13%"
"22-09-2023","199.15","200.55","202.90","196.40","21.19M","-1.22%"
"21-09-2023","201.60","205.00","205.55","200.40","20.33M","-1.49%"
"20-09-2023","204.65","198.70","205.95","198.45","33.37M","2.27%"
"18-09-2023","200.10","195.25","200.50","194.10","25.63M","3.09%"
"15-09-2023","194.10","196.15","196.20","192.20","20.52M","-0.54%"
"14-09-2023","195.15","194.20","195.65","193.70","10.94M","1.01%"
"13-09-2023","193.20","193.20","194.60","191.30","10.69M","0.99%"
"12-09-2023","191.30","203.00","204.25","190.65","29.83M","-3.57%"
"11-09-2023","198.38","195.26","198.75","193.20","17.68M","2.26%"
"08-09-2023","193.99","193.69","195.98","192.82","16.78M","0.64%"
"07-09-2023","192.75","190.50","193.27","189.11","13.76M","0.98%"
"06-09-2023","190.88","192.52","192.94","189.11","10.02M","0.08%"
"05-09-2023","190.73","191.48","192.75","189.75","10.89M","-0.43%"
"04-09-2023","191.55","190.20","192.38","188.10","10.24M","1.27%"
"01-09-2023","189.15","185.25","189.45","183.90","13.12M","3.13%"
"31-08-2023","183.41","185.89","187.20","182.66","20.72M","-1.03%"
"30-08-2023","185.32","188.48","188.70","184.84","6.75M","-1.61%"
"29-08-2023","188.36","187.20","189.75","186.45","12.36M","1.07%"
"28-08-2023","186.38","182.25","186.75","181.91","11.91M","2.69%"
"25-08-2023","181.50","184.61","185.55","181.05","12.85M","-1.75%"
"24-08-2023","184.73","187.50","189.49","184.35","18.98M","-1.32%"
"23-08-2023","187.20","187.50","187.50","185.40","8.49M","0.73%"
"22-08-2023","185.85","186.00","187.61","185.02","11.11M","0.24%"
"21-08-2023","185.40","181.73","185.77","181.27","9.13M","2.57%"
"18-08-2023","180.75","182.74","182.74","180.07","12.29M","-1.11%"
"17-08-2023","182.77","186.04","186.60","181.65","15.30M","-1.75%"
"16-08-2023","186.04","183.45","186.49","182.29","9.19M","1.45%"
"14-08-2023","183.38","183.64","183.98","180.56","9.19M","0.08%"
"11-08-2023","183.23","184.13","184.69","182.10","23.87M","1.03%"
"10-08-2023","181.35","180.41","181.99","180.04","9.96M","0.60%"
"09-08-2023","180.26","182.25","182.63","179.81","18.44M","-0.48%"
"08-08-2023","181.13","183.94","183.94","180.49","15.17M","-2.60%"
"07-08-2023","185.96","186.60","186.71","184.50","6.35M","0.24%"
"04-08-2023","185.51","186.00","186.79","184.95","7.41M","-0.54%"
"03-08-2023","186.52","186.75","187.95","184.57","10.88M","0.06%"
"02-08-2023","186.41","189.68","190.35","184.95","20.83M","-1.29%"
"01-08-2023","188.85","196.50","196.50","187.88","31.40M","-5.36%"
"31-07-2023","199.54","196.50","200.25","194.36","24.27M","3.04%"
"28-07-2023","193.65","188.85","195.86","187.57","17.52M","2.99%"
"27-07-2023","188.02","189.00","190.05","187.27","10.84M","-0.12%"
"26-07-2023","188.25","190.43","191.74","187.50","12.90M","-0.06%"
"25-07-2023","188.36","186.71","188.63","186.11","10.50M","1.50%"
"24-07-2023","185.59","183.04","186.11","182.14","14.83M","1.37%"
"21-07-2023","183.07","182.44","184.73","181.65","18.47M","-0.06%"
"20-07-2023","183.19","182.96","184.39","181.73","10.25M","0.41%"
"19-07-2023","182.44","180.75","184.65","180.41","22.95M","0.87%"
